"ipc-image src","ipc-lockup-overlay href","ipc-signpost__text","ipc-title-link-wrapper href","ipc-title__text","sc-99e9da6e-6","sc-99e9da6e-6 2","sc-99e9da6e-6 3","ipc-rating-star--rating","ipc-rating-star--voteCount"
"https://m.media-amazon.com/images/M/MV5BZThiZjU5ZDQtZDI4Mi00ZGYyLTkzOTktYmIzZTFlZTkxYzg5XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg","https://www.imdb.com/title/tt0056058/?ref_=chttp_i_38","#38","https://www.imdb.com/title/tt0056058/?ref_=chttp_t_38","Harakiri","1962","2h 13m","Not Rated","8.6","(90K)"
"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_QL75_UY133_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0407887/?ref_=chttp_i_39","#39","https://www.imdb.com/title/tt0407887/?ref_=chttp_t_39","The Departed","2006","2h 31m","R","8.5","(1.5M)"
"https://m.media-amazon.com/images/M/MV5BMDFjOWFkYzktYzhhMC00NmYyLTkwY2EtYjViMDhmNzg0OGFkXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt2582802/?ref_=chttp_i_40","#40","https://www.imdb.com/title/tt2582802/?ref_=chttp_t_40","Whiplash","2014","1h 46m","R","8.5","(1.1M)"
"https://m.media-amazon.com/images/M/MV5BZDc2YzhkODAtZmRmZS00YzcxLWJkYWEtM2ZhZjY3MmMyZmJiXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt6019206/?ref_=chttp_i_41","#41","https://www.imdb.com/title/tt6019206/?ref_=chttp_t_41","Kill Bill: The Whole Bloody Affair","2004","4h 13m","Not Rated","8.8","(34K)"
"https://m.media-amazon.com/images/M/MV5BMTM3MzQ5MjQ5OF5BMl5BanBnXkFtZTcwMTQ3NzMzMw@@._V1_QL75_UY133_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0482571/?ref_=chttp_i_42","#42","https://www.imdb.com/title/tt0482571/?ref_=chttp_t_42","The Prestige","2006","2h 10m","PG-13","8.5","(1.6M)"
"https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0120586/?ref_=chttp_i_43","#43","https://www.imdb.com/title/tt0120586/?ref_=chttp_t_43","American History X","1998","1h 59m","R","8.5","(1.3M)"
"https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0110413/?ref_=chttp_i_44","#44","https://www.imdb.com/title/tt0110413/?ref_=chttp_t_44","Léon: The Professional","1994","1h 50m","R","8.5","(1.3M)"
"https://m.media-amazon.com/images/M/MV5BNThiZjA3MjItZGY5Ni00ZmJhLWEwN2EtOTBlYTA4Y2E0M2ZmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt9362722/?ref_=chttp_i_45","#45","https://www.imdb.com/title/tt9362722/?ref_=chttp_t_45","Spider-Man: Across the Spider-Verse","2023","2h 20m","PG","8.5","(518K)"
"https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0095765/?ref_=chttp_i_46","#46","https://www.imdb.com/title/tt0095765/?ref_=chttp_t_46","Cinema Paradiso","1988","2h 54m","PG","8.5","(317K)"
"https://m.media-amazon.com/images/M/MV5BNWEzN2U1YTYtYTQyMS00NTVkLWE2NGQtZWFlMmM0MDNjMmRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0034583/?ref_=chttp_i_47","#47","https://www.imdb.com/title/tt0034583/?ref_=chttp_t_47","Casablanca","1942","1h 42m","PG","8.5","(654K)"
"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt1675434/?ref_=chttp_i_48","#48","https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48","The Intouchables","2011","1h 52m","R","8.5","(1M)"
"https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0114814/?ref_=chttp_i_49","#49","https://www.imdb.com/title/tt0114814/?ref_=chttp_t_49","The Usual Suspects","1995","1h 46m","R","8.5","(1.2M)"
"https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0078748/?ref_=chttp_i_50","#50","https://www.imdb.com/title/tt0078748/?ref_=chttp_t_50","Alien","1979","1h 57m","R","8.5","(1.1M)"
"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt1853728/?ref_=chttp_i_51","#51","https://www.imdb.com/title/tt1853728/?ref_=chttp_t_51","Django Unchained","2012","2h 45m","R","8.5","(1.9M)"
"https://m.media-amazon.com/images/M/MV5BODZhOWI1ODgtMzdiOS00YjNkLTgwOGUtYmIyZDg5ZmQwMzQ1XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg","https://www.imdb.com/title/tt0047396/?ref_=chttp_i_52","#52","https://www.imdb.com/title/tt0047396/?ref_=chttp_t_52","Rear Window","1954","1h 52m","PG","8.5","(568K)"
"https://m.media-amazon.com/images/M/MV5BMjA4MDU2NDQwN15BMl5BanBnXkFtZTgwODUwNDI2MzE@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0027977/?ref_=chttp_i_53","#53","https://www.imdb.com/title/tt0027977/?ref_=chttp_t_53","Modern Times","1936","1h 27m","G","8.5","(285K)"
